#Name	Color	Description
Protein-coding promoter	#00CD66	(protein coding promoter core elements)
5’UTR	#698B22	(5’UTR elements)
Protein-coding splice site	#78AAF1	(protein coding splice site elements)
Protein-coding	#335FE5	(protein coding elements)
3’UTR	#191970	(3’UTR elements)
lncRNA promoter	#FDBF6F	(lncRNA promoter core elements)
lncRNA splice site	#FF7F00	(lncRNA splice site elements)
lncRNA	#E31A1C	(lncRNA elements)
Small RNA	#CAB2D6	(small RNA elements)
miRNA	#8B4789	(microRNA elements)
Enhancers	#B87217	(enhancer elements)
TFBS	#774607	(transcription factor binding site elements)
Intergenic	#B3B3B3	(intergenic regions (not an element type))
Intronic	#7F7F7F	(intronic regions (not an element type))
